Judul,IndeksMaster
"Labfor Polri Turun Tangan Soal Dugaan Gagal Ginjal Akut Anak, Beberapa Pasien Diperiksa",23
5 Hotel Terdekat Dari Pusat Kota Bandar Lampung Dengan Rating Memuaskan,24
"Catat, Ini 6 Hotel di Lampung yang Dekat Dengan Pantai",25
"5 Hotel di Lampung dengan Pelayanan Terbaik, Sangat Memuaskan dan Wajib Kalian Coba",26
5 Hotel di Lampung dengan Pemandangan atau View Terbaik,27
"7 Hotel Murah di Lampung, Lengkap Dengan Fasilitas Menarik yang Bikin Nyaman",28
5 Hotel Berbintang di Bandar Lampung Tawarkan Promo Menarik Special Weekend,29
UBL Riset Bersama Diskominfotiksan Pemkab Pesawaran,30
UBL Gelar Yudisium dan Wisuda Luluskan 631 Mahasiswa,31
"Melalui Matching Fund, UBL Riset Bersama PT Angkasa Wiratama",32
"Melalui Program Matching Fund, UBL Riset Bersama GMF Aero Asia ",33
UBL Riset Bersama PRTRRB - BRIN Rancang Bangun Mesin Pengemasan Otomatis Obat Radiofarmaka,34
UBL Kembali Raih Penghargaan Universitas Terbaik se-Sumbagsel,35
Hyundai STARGAZER Resmi Hadir di Lampung,36
"Test Drive Hyundai Stargazer, Intip Kenyamanan dan Fitur Canggihnya!",37
Hyundai Beri Kesempatan Dapat Tiket Piala Dunia 2022,38
"Intip Yuk, 43 Unit Hyundai Ramaikan GIIAS 2022",39
"Jajal Mobil Listrik Hyundai, Bupati Tanggamus : Solusi Mengurangi konsumsi BBM",40
"Suzuki All New Ertiga Hybrid Resmi Mengaspal di Lampung, Simak Keunggulannya",41
"Pasca Kerusuhan Kanjuruhan, Polri Susun Aturan Pengamanan Sepakbola",42
"Ingin Keadilan, Tersangka Insiden Kanjuruhan Bantah Kunci Pintu Stadion dan Desak Polisi Buka CCTV",43
Lima Tersangka Tragedi Stadion Kanjuruhan Kembali Diperiksa Hari Ini di Polda Jatim,44
"Besok PSSI dan PT LIB Dipanggil TGIPF Tragedi Kanjuruhan, Berikut Ini Bocoran yang Bakal Diklarifikasi",45
"6 Orang Ditetapkan Tersangka Tragedi Kanjuruhan, Berikut Peran Masing-masing Mereka",46
"Tragedi Kanjuruhan, Polisi Cari Penjual Dawet Viral",47
"Pemerintah Rencanakan Penghentian Siaran TV Analog Per Hari Ini, Masyarakat Diharap Bersiap",48
"Modal Uang Rp 50 Ribu, Ternyata Sudah Bisa Nonton Saluran TV Digital Bareng Keluarga, Simak Caranya",49
"Ini Jadwal Penghentian Siaran TV Analog ASO Di Seluruh Indonesia, dan Cara Penggunaan TV Digital Pakai STB",50
10 Merk Set Top Box Terbaik Untuk Tv Digital Resmi Bersertifikat Kominfo,51
WhatsApp ke Nomor Ini Biar Kamu Bisa Dapat Set Top Box Gratis,52
"Ibu Ini Curhat soal TV Analog Disuntik Mati, Anak Nangis Tak Bisa Nonton Karena Tidak Mampu Beli Set Top Box",53
Oknum Jaksa di Lampung Utara Tersangka Kepemilikan 200 Butir Pil Alfarozolam,54
"Polisi Gagalkan Upaya Penyeludupan Psikotropika di Rutan, Begini Modusnya",55
"Soal 4 Pelaku Penyalahgunaan Narkoba yang Dibebaskan Polresta, BNNP Lampung Belum Terima Surat Asesmen",56
"Musnahkan Barang Bukti Narkoba Ratusan Kilogram dan Ribuan Pil Terlarang, Begini Atensi Polda Lampung",57
"Heboh Video Penangkapan Pengedar Sabu, Polisi Dihalangi, Dilempar Batu, Sampai Keluarkan Tembakan Peringatan",58
"Warga Pringsewu Ditangkap, BB Sabu dan Bong",59
